Symbol,Series,Exdate,CorporateActions,PreOpenPrice,NetChg,PctChg,PrevClose,TradedQty,TradedValue(in lakhs),FFMarketCapital,YearlyHigh,YearlyLow,SummaryValue,SummaryQty,FinalQty,SummaryFinalQty
RAJRAYON,BZ,-,-,0.10,-0.05,-33.33,0.15,650,0.00,1.87,-,-,27279.67,29270452,0,29270452
FRETAIL,EQ,-,-,162.35,27.05,19.99,135.30,4355749,7071.56,3007.76,415.00,60.70,27279.67,29270452,0,29270452
IRISDOREME,SM,-,-,131.10,21.10,19.18,110.00,1600,2.10,-,-,-,27279.67,29270452,0,29270452
BANKINDIA,EQ,03-Aug-2020, ANNUAL GENERAL MEETING,62.00,9.45,17.98,52.55,770686,477.83,1894.23,79.80,30.40,27279.67,29270452,0,29270452
VIVIDHA,BE,-,-,0.45,0.05,12.50,0.40,270,0.00,7.84,0.60,0.10,27279.67,29270452,0,29270452
INDTERRAIN,EQ,-,-,40.00,4.20,11.73,35.80,100972,40.39,95.08,99.05,23.15,27279.67,29270452,0,29270452
FCSSOFT,EQ,-,-,0.50,0.05,11.11,0.45,37713,0.19,61.54,0.80,0.10,27279.67,29270452,0,29270452
AYMSYNTEX,EQ,-,-,30.45,2.80,10.13,27.65,1072,0.33,38.69,41.70,13.15,27279.67,29270452,0,29270452
CKFSL,BZ,-,-,0.65,-0.05,-7.14,0.70,50000,0.32,2.09,1.35,0.20,27279.67,29270452,0,29270452
LOTUSEYE,EQ,-,-,30.40,-2.05,-6.32,32.45,200,0.06,28.34,39.95,18.60,27279.67,29270452,0,29270452
PSL,BE,-,-,0.75,-0.05,-6.25,0.80,3860,0.03,7.90,1.45,0.25,27279.67,29270452,0,29270452
SETUINFRA,EQ,-,-,0.85,-0.05,-5.56,0.90,17999,0.15,8.26,1.95,0.35,27279.67,29270452,0,29270452
ANSALHSG,EQ,-,-,4.75,-0.25,-5.00,5.00,192,0.01,13.96,9.30,2.55,27279.67,29270452,0,29270452
CHROMATIC,BE,-,-,0.95,-0.05,-5.00,1.00,1889,0.02,5.04,1.20,0.35,27279.67,29270452,0,29270452
MINDA-RE,BE,-,-,76.05,-4.00,-5.00,80.05,890,0.68,22.49,133.00,77.00,27279.67,29270452,0,29270452
MAXIND,BE,-,-,72.20,-3.80,-5.00,76.00,20791,15.01,241.18,79.95,76.00,27279.67,29270452,0,29270452
AFFLE,EQ,-,-,2522.00,-132.65,-5.00,2654.65,6678,168.42,1624.41,3079.00,804.60,27279.67,29270452,0,29270452
GROBTEA,BE,-,-,770.80,-40.55,-5.00,811.35,17,0.13,23.58,899.00,210.30,27279.67,29270452,0,29270452
TANLA,EQ,09-Jun-2020, BUYBACK,228.95,-12.00,-4.98,240.95,20917,47.89,1306.57,266.25,37.10,27279.67,29270452,0,29270452
SAGARDEEP,EQ,19-Aug-2020, ANNUAL GENERAL MEETING,118.20,-6.20,-4.98,124.40,5,0.01,36.78,147.90,41.80,27279.67,29270452,0,29270452
MANGALAM,EQ,-,-,146.85,-7.70,-4.98,154.55,1957,2.87,119.87,170.75,20.65,27279.67,29270452,0,29270452
BLS,EQ,-,-,98.40,-5.15,-4.97,103.55,1882,1.85,275.83,126.30,27.00,27279.67,29270452,0,29270452
HITECHCORP,BE,-,-,96.55,-5.05,-4.97,101.60,100,0.10,45.37,126.50,40.05,27279.67,29270452,0,29270452
SORILINFRA,EQ,-,-,70.70,-3.70,-4.97,74.40,766,0.54,82.03,153.55,36.80,27279.67,29270452,0,29270452
MAXHEALTH,BE,-,-,106.40,-5.55,-4.96,111.95,16624,17.69,1721.46,129.30,106.45,27279.67,29270452,0,29270452
ROSSELLIND,EQ,-,-,122.55,-6.40,-4.96,128.95,704,0.86,118.30,133.05,34.15,27279.67,29270452,0,29270452
GOLDTECH,BE,-,-,12.50,-0.65,-4.94,13.15,1821,0.23,20.01,16.00,5.10,27279.67,29270452,0,29270452
MCLEODRUSS,BE,-,-,23.25,-1.20,-4.91,24.45,12428,2.89,186.44,26.95,1.85,27279.67,29270452,0,29270452
MINDTECK,BE,30-Jul-2020, ANNUAL GENERAL MEETING,33.05,-1.70,-4.89,34.75,528,0.17,30.27,44.50,11.45,27279.67,29270452,0,29270452
